Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,1,0,,,0,0,4
4,1,1,24,9,ACCELERATING,false,0,0,0,1,0,,,0,0,4
5,1,1,33,9,NOTHING,false,0,0,0,2,2,,,0,0,16
6,1,1,41,8,HIT_MUD,false,0,1,0,2,2,,,0,0,13
7,1,1,50,9,ACCELERATING,false,0,1,0,2,2,,,0,1,17
8,1,1,59,9,NOTHING,false,0,1,0,2,3,,,0,2,25
9,1,1,68,9,NOTHING,false,0,1,0,2,3,,,0,2,25
10,1,2,76,9,TURNING_RIGHT,false,0,1,0,2,4,,,0,2,29
11,1,3,84,8,HIT_MUD,false,0,2,0,2,4,,,0,2,26
12,1,3,92,8,ACCELERATING,false,0,2,0,2,4,,,0,2,26
13,1,3,100,8,ACCELERATING,false,0,2,0,2,4,,,0,2,26
14,1,3,108,8,ACCELERATING,false,0,2,0,2,5,,,0,2,30
15,1,3,116,8,ACCELERATING,false,0,2,0,2,5,,,0,2,30
16,1,4,123,0,HIT_WALL,false,0,5,0,2,5,,,0,2,22
17,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
18,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
19,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
20,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
21,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
22,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
23,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
24,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
25,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
26,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
27,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
28,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
29,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
30,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
31,1,4,123,0,ACCELERATING,false,0,5,0,2,5,,,0,2,22
