Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,6,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
4,1,1,23,3,HIT_WALL,false,0,3,0,0,0,,,0,0,-8
5,1,1,23,3,FIXED_CAR,false,0,1,0,0,0,,,0,0,-8
6,1,1,29,6,ACCELERATING,false,0,1,0,0,0,,,0,0,-8
7,1,1,37,6,HIT_MUD,false,0,2,0,0,0,,,0,1,-7
8,1,1,45,6,HIT_MUD,false,0,3,0,0,0,,,0,1,-10
9,1,1,45,6,FIXED_CAR,false,0,1,0,0,0,,,0,1,-10
10,1,1,53,6,HIT_MUD,false,0,2,0,0,0,,,0,1,-13
11,1,1,61,6,HIT_MUD,false,0,3,0,0,0,,,0,2,-12
12,1,2,66,0,HIT_WALL,false,0,5,1,0,0,,,0,2,-13
13,1,2,66,0,FIXED_CAR,false,0,3,1,0,0,,,0,2,-13
14,1,2,66,0,FIXED_CAR,false,0,1,1,0,0,,,0,2,-13
15,1,2,75,9,USED_BOOST,true,5,1,0,0,0,,,1,2,-5
16,1,2,84,0,HIT_WALL,false,0,5,0,0,0,,,1,2,-19
17,1,2,84,0,FIXED_CAR,false,0,3,0,0,0,,,1,2,-19
18,1,2,84,0,FIXED_CAR,false,0,1,0,0,0,,,1,2,-19
19,1,2,87,3,ACCELERATING,false,0,1,0,0,0,,,1,2,-19
20,1,2,93,6,ACCELERATING,false,0,1,0,0,0,,,1,2,-19
21,1,2,101,8,ACCELERATING,false,0,1,0,0,0,,,1,2,-19
22,1,2,110,6,HIT_MUD,false,0,3,0,0,0,,,1,2,-25
23,1,2,110,6,FIXED_CAR,false,0,1,0,0,0,,,1,2,-25
24,1,2,118,8,ACCELERATING,false,0,1,0,0,0,,,1,2,-25
25,1,2,127,8,HIT_MUD,false,0,2,1,0,0,,,2,2,-20
26,1,3,134,8,TURNING_RIGHT,false,0,2,2,0,0,,,2,2,-16
27,1,3,142,8,USED_BOOST,true,5,2,1,0,0,,,2,2,-12
28,1,3,150,8,USED_BOOST,true,5,2,0,0,0,,,2,2,-8
29,1,3,158,8,USED_TWEET,true,4,2,0,0,0,4,159,1,2,-4
30,1,3,166,6,HIT_MUD,false,0,3,0,0,0,4,166,0,2,-3
