Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,2,4,24,9,ACCELERATING,false,0,0,0,0,0,,,1,0,4
5,2,4,33,0,HIT_WALL,false,0,5,0,1,0,,,1,0,-6
6,2,4,33,0,FIXED_CAR,false,0,3,0,1,0,,,1,0,-6
7,2,4,36,0,HIT_WALL,false,0,5,0,1,0,,,1,0,-11
8,2,4,36,0,FIXED_CAR,false,0,3,0,1,0,,,1,0,-11
9,2,4,39,3,ACCELERATING,false,0,3,0,1,0,,,1,0,-11
10,2,4,45,3,HIT_MUD,false,0,4,0,1,0,,,1,0,-14
11,2,4,48,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-14
12,2,4,51,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-14
13,2,4,54,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-14
14,2,4,57,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-14
15,2,4,60,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-14
16,2,4,63,0,HIT_MUD,false,0,5,0,1,0,,,1,0,-17
17,2,4,63,0,FIXED_CAR,false,0,3,0,1,0,,,1,0,-17
18,2,4,66,3,ACCELERATING,false,0,3,0,1,0,,,1,0,-17
19,2,4,72,6,ACCELERATING,false,0,3,0,1,0,,,2,0,-13
20,2,4,78,0,HIT_MUD,false,0,5,0,1,0,,,2,1,-18
21,2,4,78,0,FIXED_CAR,false,0,3,0,1,0,,,2,1,-18
22,2,4,81,3,ACCELERATING,false,0,3,0,1,0,,,2,1,-18
23,2,4,87,3,HIT_MUD,false,0,4,0,1,0,,,2,1,-21
24,2,4,90,0,HIT_MUD,false,0,5,0,1,0,,,2,1,-27
25,2,4,90,0,FIXED_CAR,false,0,3,0,1,0,,,2,1,-27
26,2,4,93,3,ACCELERATING,false,0,3,0,1,0,,,2,1,-27
27,2,4,99,6,ACCELERATING,false,0,3,0,1,0,,,2,2,-23
28,2,4,105,3,HIT_MUD,false,0,4,0,1,0,,,2,3,-22
29,2,4,108,3,ACCELERATING,false,0,4,0,1,1,,,2,3,-18
30,2,4,111,3,ACCELERATING,false,0,4,0,2,1,,,2,3,-14
31,2,4,114,3,ACCELERATING,false,0,4,0,2,2,,,2,3,-10
32,2,4,117,3,ACCELERATING,false,0,4,0,2,2,,,2,3,-10
33,2,4,120,3,ACCELERATING,false,0,4,0,2,2,,,2,3,-10
34,2,4,123,0,HIT_MUD,false,0,5,0,2,2,,,2,3,-13
35,2,4,123,0,FIXED_CAR,false,0,3,0,2,2,,,2,3,-13
36,2,4,126,3,ACCELERATING,false,0,3,0,2,2,,,2,3,-13
37,2,4,132,6,ACCELERATING,false,0,3,1,2,2,,,3,3,-5
38,2,4,138,6,USED_BOOST,true,5,3,0,2,2,,,3,3,-1
39,2,4,144,6,USED_LIZARD,true,4,3,0,2,1,,,3,3,-1
40,2,4,150,6,USED_LIZARD,true,3,3,0,2,0,,,3,3,-1
41,2,4,156,3,HIT_MUD,false,0,4,0,3,1,,,3,3,4
42,2,4,159,3,ACCELERATING,false,0,4,0,3,1,,,3,3,4
43,2,4,162,3,ACCELERATING,false,0,4,0,3,1,,,3,3,4
44,2,4,165,3,ACCELERATING,false,0,4,0,3,1,,,4,3,8
45,2,4,168,3,ACCELERATING,false,0,4,0,3,1,,,4,4,12
46,2,4,171,0,HIT_WALL,false,0,5,0,3,1,,,4,4,7
47,2,4,171,0,FIXED_CAR,false,0,3,0,3,1,,,4,4,7
48,2,4,174,0,HIT_WALL,false,0,5,0,3,1,,,4,4,2
49,2,4,174,0,FIXED_CAR,false,0,3,0,3,1,,,4,4,2
50,2,4,177,3,ACCELERATING,false,0,3,0,3,1,,,4,4,2
51,2,4,183,6,ACCELERATING,false,0,3,0,4,1,,,4,4,6
52,2,4,189,6,ACCELERATING,false,0,3,0,4,1,,,4,4,6
53,2,4,195,6,USED_LIZARD,false,0,3,0,4,0,,,4,4,6
54,2,4,201,0,HIT_MUD,false,0,5,0,4,0,,,5,4,4
55,2,4,201,0,FIXED_CAR,false,0,3,0,4,0,,,5,4,4
56,2,4,204,3,HIT_MUD,false,0,4,0,4,0,,,5,4,1
57,2,4,207,3,ACCELERATING,false,0,4,0,5,0,,,5,4,5
58,2,4,210,0,HIT_WALL,false,0,5,0,5,0,,,5,4,0
59,2,4,210,0,FIXED_CAR,false,0,3,0,5,0,,,5,4,0
60,2,4,213,3,ACCELERATING,false,0,3,0,5,0,,,5,4,0
61,2,4,219,3,HIT_MUD,false,0,4,0,5,0,,,5,4,-3
62,2,4,222,3,ACCELERATING,false,0,4,0,5,0,,,5,4,-3
63,2,4,225,3,ACCELERATING,false,0,4,0,6,0,,,5,4,1
64,2,4,228,3,ACCELERATING,false,0,4,0,6,0,,,5,4,1
65,2,4,231,3,ACCELERATING,false,0,4,0,6,0,,,5,5,5
66,2,4,234,0,HIT_MUD,false,0,5,0,6,0,,,5,5,2
67,2,4,234,0,FIXED_CAR,false,0,3,0,6,0,,,5,5,2
68,2,4,237,3,ACCELERATING,false,0,3,0,6,0,,,5,5,2
69,2,4,243,6,ACCELERATING,false,0,3,0,6,0,,,5,6,6
70,2,4,249,6,ACCELERATING,false,0,3,0,6,1,,,5,6,10
71,2,4,255,6,ACCELERATING,false,0,3,0,6,1,,,5,6,10
72,2,4,261,6,USED_LIZARD,false,0,3,0,6,0,,,5,6,10
73,2,4,267,3,HIT_MUD,false,0,4,0,6,0,,,5,6,7
74,2,4,270,3,ACCELERATING,false,0,4,0,6,0,,,5,6,7
75,2,4,273,3,ACCELERATING,false,0,4,0,6,0,,,5,6,7
76,2,4,276,3,ACCELERATING,false,0,4,0,6,0,,,5,6,7
77,2,4,279,3,ACCELERATING,false,0,4,0,6,0,,,5,6,7
78,2,4,282,3,ACCELERATING,false,0,4,0,6,0,,,5,6,7
79,2,4,285,3,ACCELERATING,false,0,4,0,6,0,,,5,6,7
80,2,4,288,3,ACCELERATING,false,0,4,0,6,0,,,5,6,7
81,2,4,291,0,HIT_MUD,false,0,5,0,6,0,,,5,6,4
82,2,4,291,0,FIXED_CAR,false,0,3,0,6,0,,,5,6,4
83,2,4,294,3,ACCELERATING,false,0,3,0,6,0,,,5,6,4
84,2,4,300,0,HIT_WALL,false,0,5,0,6,0,,,5,6,-4
85,2,4,300,0,FIXED_CAR,false,0,3,0,6,0,,,5,6,-4
86,2,4,303,3,HIT_MUD,false,0,4,0,6,0,,,5,6,-7
87,2,4,306,3,ACCELERATING,false,0,4,0,6,0,,,5,6,-7
88,2,4,309,3,ACCELERATING,false,0,4,0,6,0,,,5,7,-3
89,2,4,312,3,ACCELERATING,false,0,4,0,6,0,,,5,7,-3
90,2,4,315,3,ACCELERATING,false,0,4,0,6,0,,,5,7,-3
91,2,4,318,3,ACCELERATING,false,0,4,0,6,0,,,5,7,-3
92,2,4,321,3,ACCELERATING,false,0,4,0,6,0,,,5,7,-3
93,2,4,324,3,ACCELERATING,false,0,4,0,6,0,,,5,7,-3
94,2,4,327,3,ACCELERATING,false,0,4,0,6,0,,,5,7,-3
95,2,4,330,3,ACCELERATING,false,0,4,0,6,0,,,5,7,-3
96,2,4,333,3,ACCELERATING,false,0,4,0,6,0,,,5,7,-3
97,2,4,336,0,HIT_MUD,false,0,5,0,6,0,,,5,7,-6
98,2,4,336,0,FIXED_CAR,false,0,3,0,6,0,,,5,7,-6
99,2,4,339,3,ACCELERATING,false,0,3,0,6,0,,,5,7,-6
100,2,4,345,6,ACCELERATING,false,0,3,0,6,1,,,5,7,-2
101,2,4,351,6,USED_LIZARD,false,0,3,0,6,0,,,5,7,-2
102,2,4,357,0,HIT_MUD,false,0,5,0,6,0,,,5,7,-8
103,2,4,357,0,FIXED_CAR,false,0,3,0,6,0,,,5,7,-8
104,2,4,360,3,ACCELERATING,false,0,3,0,6,0,,,5,7,-8
105,2,4,366,3,HIT_MUD,false,0,4,1,6,0,,,5,7,-7
106,2,4,369,3,ACCELERATING,false,0,4,1,6,0,,,5,7,-7
107,2,4,372,0,HIT_MUD,false,0,5,1,6,0,,,5,8,-6
108,2,4,372,0,FIXED_CAR,false,0,3,1,6,0,,,5,8,-6
109,2,4,375,3,ACCELERATING,false,0,3,1,6,0,,,5,8,-6
110,2,4,381,6,ACCELERATING,false,0,3,1,6,0,,,5,9,-2
111,2,4,387,6,USED_BOOST,true,5,3,0,7,0,,,5,9,6
112,2,4,393,0,HIT_WALL,false,0,5,0,7,0,,,5,9,-2
113,2,4,393,0,FIXED_CAR,false,0,3,0,7,0,,,5,9,-2
114,2,4,396,3,ACCELERATING,false,0,3,0,8,0,,,5,9,2
115,2,4,402,6,ACCELERATING,false,0,3,0,8,0,,,5,9,2
116,2,4,408,6,ACCELERATING,false,0,3,0,8,0,,,5,9,2
117,2,4,414,3,HIT_MUD,false,0,4,0,8,0,,,6,9,3
118,2,4,417,3,ACCELERATING,false,0,4,0,8,0,,,6,9,3
119,2,4,420,3,ACCELERATING,false,0,4,0,9,0,,,6,9,7
120,2,4,423,3,ACCELERATING,false,0,4,0,9,0,,,6,9,7
121,2,4,426,3,ACCELERATING,false,0,4,0,10,0,,,6,9,11
122,2,4,429,3,ACCELERATING,false,0,4,0,10,0,,,6,9,11
123,2,4,432,3,ACCELERATING,false,0,4,0,10,0,,,6,9,11
124,2,4,435,3,ACCELERATING,false,0,4,0,10,0,,,6,9,11
125,2,4,438,3,ACCELERATING,false,0,4,0,10,0,,,6,9,11
126,2,4,441,3,ACCELERATING,false,0,4,0,10,0,,,6,9,11
127,2,4,444,3,ACCELERATING,false,0,4,0,10,0,,,6,9,11
128,2,4,447,3,ACCELERATING,false,0,4,0,10,0,,,6,10,15
129,2,4,450,3,ACCELERATING,false,0,4,0,10,0,,,6,10,15
130,2,4,453,3,ACCELERATING,false,0,4,0,10,0,,,6,10,15
131,2,4,456,3,ACCELERATING,false,0,4,0,10,0,,,6,10,15
132,2,4,459,3,ACCELERATING,false,0,4,1,10,0,,,6,10,19
133,2,4,462,3,ACCELERATING,false,0,4,2,10,0,,,6,10,23
134,2,4,465,3,ACCELERATING,false,0,4,2,10,0,,,6,10,23
135,2,4,468,3,ACCELERATING,false,0,4,2,10,0,,,7,10,27
136,2,4,471,3,ACCELERATING,false,0,4,2,10,0,,,7,10,27
