Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,3,12,6,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
4,2,3,20,6,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
5,2,2,25,6,TURNING_LEFT,false,0,1,0,0,0,,,0,0,-3
6,2,2,33,8,ACCELERATING,false,0,1,0,0,0,,,0,0,-3
7,2,2,42,8,HIT_MUD,false,0,2,0,0,1,,,0,0,-2
8,2,3,49,8,TURNING_RIGHT,false,0,2,0,0,1,,,0,0,-2
9,2,3,49,8,FIXED_CAR,false,0,0,0,0,1,,,0,0,-2
10,2,3,57,8,USED_LIZARD,false,0,0,0,0,0,,,0,0,-2
11,2,2,64,8,TURNING_LEFT,false,0,0,0,0,0,,,0,1,2
12,2,2,73,9,ACCELERATING,false,0,0,0,0,0,,,0,1,2
13,2,2,82,9,NOTHING,false,0,0,0,1,0,,,0,1,6
14,2,2,91,9,NOTHING,false,0,0,0,1,0,,,0,1,6
15,2,2,100,9,NOTHING,false,0,0,0,1,0,,,0,1,6
16,2,3,108,9,TURNING_RIGHT,false,0,0,0,1,0,,,0,1,6
17,2,3,117,9,NOTHING,false,0,0,0,1,1,,,0,1,10
18,2,3,126,9,NOTHING,false,0,0,0,1,1,,,0,1,10
19,2,3,135,8,HIT_MUD,false,0,1,0,1,0,,,0,1,7
20,2,4,142,8,TURNING_RIGHT,false,0,1,0,1,0,,,0,1,7
21,2,4,151,9,ACCELERATING,false,0,1,1,1,0,,,0,1,11
22,2,4,160,9,USED_BOOST,true,5,1,1,1,1,,,0,1,23
23,2,4,169,8,HIT_MUD,false,0,2,0,2,1,,,0,1,28
24,2,3,176,8,TURNING_LEFT,false,0,2,0,2,1,,,0,1,28
25,2,3,176,8,FIXED_CAR,false,0,0,0,2,1,,,0,1,28
26,2,3,185,9,ACCELERATING,false,0,0,0,2,1,,,0,1,28
27,2,3,194,9,USED_LIZARD,false,0,0,0,2,0,,,0,1,28
28,2,3,203,9,NOTHING,false,0,0,0,2,0,,,0,1,28
29,2,3,212,9,NOTHING,false,0,0,0,2,0,,,0,1,28
30,2,2,220,9,TURNING_LEFT,false,0,0,0,2,1,,,0,1,32
31,2,2,229,9,USED_LIZARD,false,0,0,0,2,0,,,0,1,32
32,2,3,237,9,TURNING_RIGHT,false,0,0,0,2,0,,,0,1,32
33,2,3,246,9,NOTHING,false,0,0,0,2,0,,,1,1,36
34,2,3,255,9,NOTHING,false,0,0,0,2,0,,,1,1,36
35,2,3,264,9,NOTHING,false,0,0,0,2,0,,,1,1,36
36,2,3,273,9,NOTHING,false,0,0,0,2,0,,,1,1,36
37,2,2,281,9,TURNING_LEFT,false,0,0,1,2,0,,,1,1,40
38,2,2,296,15,USED_BOOST,true,5,0,0,2,0,,,1,1,44
39,2,1,310,15,TURNING_LEFT,true,4,0,0,2,0,,,2,1,48
40,2,1,325,15,NOTHING,true,3,0,0,2,0,,,2,1,48
41,2,1,340,9,HIT_MUD,false,0,1,0,3,0,,,2,2,53
42,2,2,348,9,TURNING_RIGHT,false,0,1,0,3,0,,,3,2,57
43,2,2,357,9,NOTHING,false,0,1,0,3,0,,,3,2,57
44,2,2,366,9,NOTHING,false,0,1,0,3,0,,,3,2,57
45,2,2,375,9,NOTHING,false,0,1,0,3,0,,,3,2,57
46,2,2,384,9,NOTHING,false,0,1,1,3,0,,,3,2,61
47,2,2,393,9,USED_BOOST,true,5,1,0,4,1,,,3,2,73
48,2,2,402,9,USED_LIZARD,true,4,1,0,4,0,,,3,2,73
49,2,3,410,9,TURNING_RIGHT,true,3,1,0,4,0,,,3,2,73
50,2,3,419,9,NOTHING,true,2,1,0,4,0,,,3,2,73
51,2,3,428,9,NOTHING,true,1,1,0,5,0,,,3,2,77
52,2,2,436,9,TURNING_LEFT,false,0,1,0,5,0,,,3,2,77
53,2,2,445,9,NOTHING,false,0,1,0,5,1,,,3,2,81
54,2,2,454,9,USED_LIZARD,false,0,1,0,5,0,,,3,2,81
55,2,2,463,9,NOTHING,false,0,1,0,5,0,,,3,2,81
56,2,2,472,9,NOTHING,false,0,1,0,6,0,,,3,2,85
57,2,2,481,9,NOTHING,false,0,1,0,6,1,,,3,2,89
58,2,2,490,9,USED_LIZARD,false,0,1,0,6,0,,,3,2,89
59,2,2,499,9,NOTHING,false,0,1,0,6,0,,,4,2,93
60,2,2,508,9,NOTHING,false,0,1,1,6,0,,,4,2,97
61,2,2,517,9,USED_BOOST,true,5,1,0,6,0,,,5,2,105
62,2,2,526,9,NOTHING,true,4,1,0,6,0,,,5,2,105
63,2,1,534,9,TURNING_LEFT,true,3,1,0,6,0,,,5,2,105
64,2,2,542,8,HIT_MUD,false,0,2,0,6,0,,,5,2,102
65,2,1,549,8,TURNING_LEFT,false,0,2,0,6,1,,,5,2,106
66,2,1,549,8,FIXED_CAR,false,0,0,0,6,1,,,5,2,106
67,2,1,558,9,ACCELERATING,false,0,0,0,6,1,,,5,2,106
68,2,1,567,9,NOTHING,false,0,0,0,6,1,,,5,2,106
69,2,1,576,9,NOTHING,false,0,0,0,6,1,,,5,2,106
70,2,1,585,9,USED_LIZARD,false,0,0,0,6,0,,,5,2,106
71,2,2,593,9,TURNING_RIGHT,false,0,0,1,6,0,,,5,2,110
72,2,3,601,9,TURNING_RIGHT,false,0,0,1,6,0,,,5,2,110
73,2,3,616,15,USED_BOOST,true,5,0,0,6,0,,,6,2,118
74,2,3,631,9,HIT_MUD,false,0,1,0,6,0,,,6,2,115
75,2,2,639,9,TURNING_LEFT,false,0,1,0,6,0,,,6,2,115
76,2,2,648,9,NOTHING,false,0,1,0,6,0,,,7,2,119
77,2,1,656,9,TURNING_LEFT,false,0,1,0,6,0,,,7,2,119
78,2,2,664,9,TURNING_RIGHT,false,0,1,0,6,0,,,7,2,119
79,2,2,673,9,NOTHING,false,0,1,0,6,0,,,7,2,119
80,2,2,682,9,NOTHING,false,0,1,0,6,0,,,8,2,123
81,2,2,691,9,NOTHING,false,0,1,0,6,0,,,8,2,123
82,2,3,699,9,TURNING_RIGHT,false,0,1,0,6,0,,,8,2,123
83,2,3,708,9,NOTHING,false,0,1,0,6,0,,,8,2,123
84,2,3,717,9,NOTHING,false,0,1,1,6,0,,,8,2,127
85,2,3,726,9,USED_BOOST,true,5,1,0,6,0,,,9,2,135
86,2,3,735,9,NOTHING,true,4,1,0,6,1,,,9,2,139
87,2,3,744,9,USED_LIZARD,true,3,1,0,6,0,,,9,2,139
88,2,3,753,9,NOTHING,true,2,1,0,6,0,,,9,2,139
89,2,2,761,8,HIT_MUD,false,0,2,0,6,0,,,10,2,140
90,2,1,768,8,TURNING_LEFT,false,0,2,0,6,0,,,11,2,144
91,2,1,768,8,FIXED_CAR,false,0,0,0,6,0,,,11,2,144
92,2,1,777,9,ACCELERATING,false,0,0,0,6,1,,,11,2,148
93,2,1,786,9,USED_LIZARD,false,0,0,0,6,0,,,11,2,148
94,2,1,795,9,NOTHING,false,0,0,0,6,0,,,11,2,148
95,2,1,804,9,NOTHING,false,0,0,0,6,0,,,11,2,148
96,2,2,812,9,TURNING_RIGHT,false,0,0,0,6,0,,,11,2,148
97,2,2,821,9,NOTHING,false,0,0,0,6,0,,,11,2,148
98,2,2,830,9,NOTHING,false,0,0,0,6,0,,,11,3,152
99,2,2,839,9,NOTHING,false,0,0,0,6,0,,,11,3,152
100,2,2,848,9,NOTHING,false,0,0,0,6,0,,,11,3,152
101,2,2,857,9,NOTHING,false,0,0,0,6,0,,,11,3,152
102,2,2,866,9,NOTHING,false,0,0,0,7,1,,,11,3,160
103,2,2,875,9,USED_LIZARD,false,0,0,0,7,0,,,11,3,160
104,2,1,883,9,TURNING_LEFT,false,0,0,0,7,0,,,11,3,160
105,2,1,892,6,HIT_MUD,false,0,2,0,7,0,,,11,3,154
106,2,2,897,6,TURNING_RIGHT,false,0,2,0,7,0,,,11,3,154
107,2,2,897,6,FIXED_CAR,false,0,0,0,7,0,,,11,3,154
108,2,3,902,6,TURNING_RIGHT,false,0,0,0,7,1,,,12,3,162
109,2,3,910,8,ACCELERATING,false,0,0,0,8,1,,,12,3,166
110,2,3,919,9,ACCELERATING,false,0,0,0,8,1,,,12,3,166
111,2,3,928,9,USED_LIZARD,false,0,0,0,8,0,,,12,3,166
112,2,2,936,9,TURNING_LEFT,false,0,0,0,8,0,,,12,3,166
113,2,3,944,9,TURNING_RIGHT,false,0,0,0,8,0,,,12,3,166
114,2,3,953,9,NOTHING,false,0,0,0,8,0,,,12,3,166
115,2,3,962,9,NOTHING,false,0,0,0,8,0,,,12,3,166
116,2,2,970,9,TURNING_LEFT,false,0,0,0,8,0,,,12,3,166
117,2,3,978,9,TURNING_RIGHT,false,0,0,0,8,0,,,12,3,166
118,2,3,987,9,NOTHING,false,0,0,0,8,0,,,12,3,166
119,2,3,996,9,NOTHING,false,0,0,0,8,0,,,12,4,170
120,2,2,1004,9,TURNING_LEFT,false,0,0,0,8,0,,,12,4,170
121,2,1,1012,9,TURNING_LEFT,false,0,0,0,8,0,,,12,4,170
122,2,1,1021,9,NOTHING,false,0,0,0,8,0,,,12,4,170
123,2,2,1029,9,TURNING_RIGHT,false,0,0,0,8,0,,,13,4,174
124,2,2,1038,9,NOTHING,false,0,0,0,9,0,,,13,4,178
125,2,3,1046,9,TURNING_RIGHT,false,0,0,0,9,0,,,13,4,178
126,2,3,1055,9,NOTHING,false,0,0,0,9,0,,,13,4,178
127,2,4,1063,9,TURNING_RIGHT,false,0,0,0,9,0,,,13,4,178
128,2,4,1072,9,NOTHING,false,0,0,0,9,0,,,13,4,178
129,2,3,1080,9,TURNING_LEFT,false,0,0,0,9,0,,,13,4,178
130,2,3,1089,9,NOTHING,false,0,0,0,9,1,,,13,4,182
131,2,3,1098,9,NOTHING,false,0,0,0,9,1,,,13,4,182
132,2,3,1107,9,USED_LIZARD,false,0,0,0,9,0,,,13,4,182
133,2,3,1116,9,NOTHING,false,0,0,0,9,0,,,13,4,182
134,2,2,1124,9,TURNING_LEFT,false,0,0,0,9,0,,,13,4,182
135,2,2,1133,9,NOTHING,false,0,0,1,9,0,,,13,4,186
136,2,2,1148,9,HIT_MUD,false,0,1,0,9,1,,,13,4,191
137,2,1,1156,9,TURNING_LEFT,false,0,1,0,9,1,,,13,4,191
