Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,3,12,6,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
4,2,3,20,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
5,2,3,29,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
6,2,3,38,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
7,2,2,46,9,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
8,2,2,55,9,ACCELERATING,false,0,0,0,1,0,,,0,0,4
9,2,2,64,9,ACCELERATING,false,0,0,0,1,0,,,0,0,4
10,2,3,72,9,TURNING_RIGHT,false,0,0,0,1,0,,,0,0,4
11,2,3,81,9,ACCELERATING,false,0,0,1,1,1,,,0,0,12
12,2,3,96,15,USED_BOOST,true,5,0,0,2,3,,,0,0,28
13,2,3,111,9,HIT_MUD,false,0,1,0,2,3,,,0,0,25
14,2,2,119,9,TURNING_LEFT,false,0,1,0,3,4,,,0,0,33
15,2,2,128,9,ACCELERATING,false,0,1,0,3,4,,,0,0,33
16,2,1,136,9,TURNING_LEFT,false,0,1,0,3,5,,,0,0,37
17,2,1,145,9,ACCELERATING,false,0,1,0,3,5,,,2,0,45
18,2,1,154,9,USED_TWEET,false,0,1,0,3,5,1,176,1,0,49
19,2,2,162,9,TURNING_RIGHT,false,0,1,0,3,5,1,176,1,0,49
20,2,2,171,9,USED_TWEET,false,0,1,0,3,5,2,193,0,0,53
21,2,2,180,9,ACCELERATING,false,0,1,0,3,5,2,193,0,1,57
22,2,2,189,9,USED_EMP,false,0,1,0,3,5,2,193,0,0,61
23,2,1,197,8,HIT_MUD,false,0,2,0,3,5,2,193,0,0,58
24,2,1,205,8,ACCELERATING,false,0,2,1,3,5,2,193,0,0,62
25,2,1,205,8,FIXED_CAR,false,0,0,1,3,5,2,193,0,0,62
26,2,1,214,6,HIT_MUD,false,0,2,1,4,5,2,193,0,0,60
27,2,1,222,8,ACCELERATING,false,0,2,1,4,5,2,193,0,0,60
28,2,1,222,8,FIXED_CAR,false,0,0,1,4,5,2,193,0,0,60
29,2,1,237,15,USED_BOOST,true,5,0,0,4,6,2,193,0,0,68
30,2,1,252,15,ACCELERATING,true,4,0,0,4,6,2,193,0,0,68
31,2,2,266,15,TURNING_RIGHT,true,3,0,0,4,6,2,193,0,0,68
32,2,2,281,15,ACCELERATING,true,2,0,0,4,6,2,193,0,0,68
33,2,2,296,15,ACCELERATING,true,1,0,0,4,6,2,193,1,0,72
34,2,3,304,9,TURNING_RIGHT,false,0,0,0,4,6,2,193,1,0,72
35,2,3,313,9,USED_TWEET,false,0,0,1,5,6,2,295,0,0,84
36,2,3,328,15,USED_BOOST,true,5,0,0,5,6,2,295,0,0,88
37,2,3,343,15,ACCELERATING,true,4,0,0,5,6,2,295,0,1,92
38,2,3,358,15,ACCELERATING,true,3,0,0,5,6,2,295,0,1,92
39,2,2,372,15,TURNING_LEFT,true,2,0,1,5,6,2,295,0,1,96
40,2,1,386,15,TURNING_LEFT,true,1,0,2,5,6,2,295,0,1,100
41,2,2,394,9,TURNING_RIGHT,false,0,0,3,5,6,2,295,0,2,108
42,2,2,409,15,USED_BOOST,true,5,0,2,5,6,2,295,0,2,112
43,2,2,424,15,ACCELERATING,true,4,0,2,5,6,2,295,0,3,116
44,2,1,438,15,TURNING_LEFT,true,3,0,2,5,6,2,295,0,3,116
45,2,1,453,9,HIT_MUD,false,0,1,3,5,6,2,295,0,3,117
46,2,1,453,9,FIXED_CAR,false,0,0,3,5,6,2,295,0,3,117
47,2,1,468,15,USED_BOOST,true,5,0,2,6,6,2,295,0,3,125
48,2,2,482,15,TURNING_RIGHT,true,4,0,3,6,6,2,295,0,3,129
49,2,2,497,15,ACCELERATING,true,3,0,3,6,7,2,295,0,3,133
50,2,1,511,15,TURNING_LEFT,true,2,0,3,6,8,2,295,0,3,137
51,2,2,525,9,HIT_MUD,false,0,1,4,6,8,2,295,1,3,142
52,2,2,525,9,FIXED_CAR,false,0,0,4,6,8,2,295,1,3,142
53,2,2,540,15,USED_BOOST,true,5,0,3,7,8,2,295,1,3,150
54,2,2,555,15,ACCELERATING,true,4,0,3,7,9,2,295,1,3,154
55,2,2,570,15,ACCELERATING,true,3,0,3,7,10,2,295,1,4,162
56,2,3,584,15,TURNING_RIGHT,true,2,0,3,7,10,2,295,1,4,162
57,2,2,598,15,TURNING_LEFT,true,1,0,4,7,10,2,295,1,4,166
58,2,1,606,9,TURNING_LEFT,false,0,0,4,7,10,2,295,1,4,166
59,2,1,615,8,HIT_MUD,false,0,1,4,6,10,2,295,1,4,167
60,2,1,624,9,ACCELERATING,false,0,1,4,6,10,2,295,1,4,167
61,2,1,624,9,FIXED_CAR,false,0,0,4,6,10,2,295,1,4,167
62,2,1,633,8,HIT_MUD,false,0,1,4,6,10,2,295,1,4,164
63,2,2,640,3,HIT_MUD,false,0,3,4,6,10,2,295,1,4,158
64,2,2,646,6,ACCELERATING,false,0,3,4,7,10,2,295,1,4,162
65,2,2,646,6,FIXED_CAR,false,0,1,4,7,10,2,295,1,4,162
66,2,2,654,8,ACCELERATING,false,0,1,4,7,10,2,295,1,4,162
67,2,3,661,8,TURNING_RIGHT,false,0,1,5,7,10,2,295,1,4,166
68,2,2,668,8,TURNING_LEFT,false,0,1,5,7,10,2,295,1,4,166
69,2,1,675,8,TURNING_LEFT,false,0,1,5,7,10,2,295,1,4,166
70,2,1,684,9,ACCELERATING,false,0,1,5,7,10,2,295,1,4,166
71,2,1,684,9,FIXED_CAR,false,0,0,5,7,10,2,295,1,4,166
72,2,1,699,15,USED_BOOST,true,5,0,4,7,10,2,295,1,4,170
73,2,2,713,15,TURNING_RIGHT,true,4,0,5,9,10,2,295,1,4,182
74,2,1,727,15,TURNING_LEFT,true,3,0,5,9,10,2,295,1,4,182
75,2,1,742,15,ACCELERATING,true,2,0,5,9,10,2,295,1,4,182
76,2,1,757,15,ACCELERATING,true,1,0,5,9,11,2,295,1,5,190
77,2,1,766,9,ACCELERATING,false,0,0,5,9,11,2,295,1,6,194
78,2,2,774,9,TURNING_RIGHT,false,0,0,5,9,11,2,295,1,6,194
79,2,2,789,15,USED_BOOST,true,5,0,4,9,11,2,295,1,6,198
80,2,2,804,15,ACCELERATING,true,4,0,4,9,11,2,295,2,6,202
81,2,2,819,15,ACCELERATING,true,3,0,4,9,11,2,295,3,6,206
82,2,2,834,15,ACCELERATING,true,2,0,5,9,11,2,295,3,6,210
83,2,3,848,15,TURNING_RIGHT,true,1,0,6,9,12,2,295,3,6,218
84,2,3,857,9,ACCELERATING,false,0,0,6,9,12,2,295,3,6,218
85,2,3,872,15,USED_BOOST,true,5,0,5,9,12,2,295,3,6,222
86,2,3,887,15,ACCELERATING,true,4,0,5,9,12,2,295,3,6,222
87,2,3,902,15,ACCELERATING,true,3,0,5,9,13,2,295,3,6,226
88,2,3,917,15,ACCELERATING,true,2,0,5,9,13,2,295,3,6,226
89,2,3,932,9,HIT_MUD,false,0,1,5,9,13,2,295,3,6,223
90,2,3,932,9,FIXED_CAR,false,0,0,5,9,13,2,295,3,6,223
91,2,3,947,15,USED_BOOST,true,5,0,4,9,13,2,295,3,6,227
92,2,3,962,9,HIT_MUD,false,0,1,4,9,13,2,295,3,6,224
93,2,3,962,9,FIXED_CAR,false,0,0,4,9,13,2,295,3,6,224
94,2,3,977,15,USED_BOOST,true,5,0,3,9,14,2,295,3,6,232
95,2,4,991,15,TURNING_RIGHT,true,4,0,3,9,14,2,295,3,6,232
96,2,3,1005,9,HIT_MUD,false,0,1,4,9,14,2,295,3,6,233
97,2,3,1005,9,FIXED_CAR,false,0,0,4,9,14,2,295,3,6,233
98,2,3,1020,15,USED_BOOST,true,5,0,4,9,14,2,295,3,6,241
99,2,3,1035,15,ACCELERATING,true,4,0,4,9,14,2,295,3,6,241
100,2,2,1049,15,TURNING_LEFT,true,3,0,4,10,14,2,295,3,7,249
101,2,2,1064,15,ACCELERATING,true,2,0,5,10,14,2,295,3,7,253
102,2,1,1078,15,TURNING_LEFT,true,1,0,5,11,14,2,295,3,7,257
103,2,2,1086,9,TURNING_RIGHT,false,0,0,5,11,14,2,295,3,7,257
104,2,3,1094,9,TURNING_RIGHT,false,0,0,5,11,14,2,295,3,7,257
105,2,3,1109,15,USED_BOOST,true,5,0,5,11,14,2,295,3,8,269
106,2,2,1123,8,HIT_MUD,false,0,2,5,11,14,2,295,3,8,263
107,2,2,1123,8,FIXED_CAR,false,0,0,5,11,14,2,295,3,8,263
108,2,2,1132,9,ACCELERATING,false,0,0,5,11,14,2,295,3,9,267
109,2,3,1140,9,TURNING_RIGHT,false,0,0,5,11,14,2,295,3,9,267
110,2,3,1155,15,USED_BOOST,true,5,0,5,12,15,2,295,4,9,287
111,2,2,1169,15,TURNING_LEFT,true,4,0,5,12,15,2,295,4,9,287
112,2,2,1184,15,ACCELERATING,true,3,0,5,12,15,2,295,4,9,287
113,2,2,1199,9,HIT_MUD,false,0,1,5,12,15,2,295,4,9,284
114,2,2,1199,9,FIXED_CAR,false,0,0,5,12,15,2,295,4,9,284
115,2,2,1214,15,USED_BOOST,true,5,0,4,12,15,2,295,4,9,288
116,2,2,1229,15,ACCELERATING,true,4,0,4,12,15,2,295,4,9,288
117,2,2,1244,15,ACCELERATING,true,3,0,5,12,16,2,295,4,10,300
118,2,3,1258,15,TURNING_RIGHT,true,2,0,5,12,16,2,295,4,10,300
119,2,2,1272,15,TURNING_LEFT,true,1,0,5,12,16,2,295,4,10,300
120,2,2,1281,9,ACCELERATING,false,0,0,5,12,16,2,295,4,10,300
121,2,2,1296,15,USED_BOOST,true,5,0,4,12,16,2,295,4,10,304
122,2,2,1311,15,ACCELERATING,true,4,0,5,12,16,2,295,4,10,308
123,2,3,1325,15,TURNING_RIGHT,true,3,0,5,12,16,2,295,4,10,308
124,2,3,1340,15,ACCELERATING,true,2,0,5,12,16,2,295,4,10,308
125,2,4,1354,15,TURNING_RIGHT,true,1,0,5,12,16,2,295,4,10,308
126,2,3,1362,9,TURNING_LEFT,false,0,0,5,12,16,2,295,4,10,308
127,2,4,1370,9,TURNING_RIGHT,false,0,0,5,12,16,2,295,4,10,308
128,2,3,1378,9,TURNING_LEFT,false,0,0,5,12,16,2,295,5,10,312
