Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,3,5,5,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
3,2,3,11,6,ACCELERATING,false,0,0,0,1,0,,,0,0,4
4,2,3,19,8,ACCELERATING,false,0,0,1,1,0,,,0,0,8
5,2,3,28,9,ACCELERATING,false,0,0,1,1,0,,,0,0,8
6,2,2,36,9,TURNING_LEFT,false,0,0,2,1,0,,,0,0,12
7,2,2,45,9,ACCELERATING,false,0,0,2,1,0,,,0,0,12
8,2,1,53,9,TURNING_LEFT,false,0,0,2,1,0,,,0,0,12
9,2,1,68,15,USED_BOOST,true,5,0,1,1,0,,,0,0,16
10,2,2,82,9,HIT_MUD,false,0,1,1,1,0,,,0,0,13
11,2,2,91,9,ACCELERATING,false,0,1,1,1,0,,,1,0,17
12,2,3,99,9,TURNING_RIGHT,false,0,1,1,1,0,,,1,0,17
13,2,3,108,9,USED_TWEET,false,0,1,1,2,1,2,105,0,0,29
14,2,3,117,9,ACCELERATING,false,0,1,1,2,1,2,105,0,0,29
15,2,3,126,9,USED_OIL,false,0,1,1,1,1,2,105,0,0,33
16,2,2,134,9,TURNING_LEFT,false,0,1,1,1,1,2,105,0,0,33
17,2,2,143,9,USED_OIL,false,0,1,1,1,1,2,105,0,0,41
18,2,2,152,9,USED_OIL,false,0,1,1,0,1,2,105,0,0,45
19,2,2,161,9,ACCELERATING,false,0,1,1,0,1,2,105,0,0,45
20,2,2,170,9,ACCELERATING,false,0,1,1,0,1,2,105,0,0,45
21,2,2,179,9,ACCELERATING,false,0,1,1,0,2,2,105,0,1,53
22,2,2,188,9,ACCELERATING,false,0,1,1,0,2,2,105,0,1,53
23,2,2,197,9,ACCELERATING,false,0,1,1,0,2,2,105,0,1,53
24,2,3,205,9,TURNING_RIGHT,false,0,1,1,0,2,2,105,0,1,53
25,2,3,214,9,ACCELERATING,false,0,1,1,0,2,2,105,0,1,53
26,2,3,223,9,ACCELERATING,false,0,1,3,0,2,2,105,0,1,61
27,2,4,231,9,TURNING_RIGHT,false,0,1,3,0,2,2,105,0,1,61
28,2,3,239,9,TURNING_LEFT,false,0,1,3,0,2,2,105,0,1,61
29,2,3,239,9,FIXED_CAR,false,0,0,3,0,2,2,105,0,1,61
30,2,3,254,15,USED_BOOST,true,5,0,2,0,2,2,105,0,1,65
31,2,2,268,15,TURNING_LEFT,true,4,0,3,0,2,2,105,0,1,69
32,2,2,283,15,ACCELERATING,true,3,0,4,0,2,2,105,1,1,77
33,2,1,297,15,TURNING_LEFT,true,2,0,5,0,2,2,105,1,1,81
34,2,1,312,15,USED_TWEET,true,1,0,5,1,2,3,205,0,1,89
35,2,1,327,15,USED_BOOST,true,5,0,4,1,3,3,205,0,1,97
36,2,1,342,15,USED_OIL,true,4,0,4,0,3,3,205,0,1,101
37,2,1,357,15,ACCELERATING,true,3,0,4,0,3,3,205,0,1,101
38,2,2,371,15,TURNING_RIGHT,true,2,0,4,0,3,3,205,0,2,105
39,2,1,385,15,TURNING_LEFT,true,1,0,4,0,3,3,205,0,2,105
40,2,1,400,15,USED_BOOST,true,5,0,3,0,3,3,205,0,2,109
41,2,1,415,15,USED_LIZARD,true,4,0,3,0,2,3,205,0,2,109
42,2,1,430,15,ACCELERATING,true,3,0,4,0,2,3,205,0,2,113
43,2,1,445,15,ACCELERATING,true,2,0,4,0,2,3,205,0,2,113
44,2,1,460,15,ACCELERATING,true,1,0,4,0,2,3,205,0,2,113
45,2,1,475,15,USED_BOOST,true,5,0,3,0,2,3,205,1,2,121
46,2,2,489,15,TURNING_RIGHT,true,4,0,4,0,2,3,205,1,2,125
47,2,1,503,15,TURNING_LEFT,true,3,0,4,0,2,3,205,1,2,125
48,2,2,517,15,TURNING_RIGHT,true,2,0,4,0,2,3,205,1,2,125
