Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,2,22,8,TURNING_RIGHT,false,0,0,0,0,0,,,0,0,0
5,1,2,31,9,ACCELERATING,false,0,0,1,0,0,,,0,0,4
6,1,3,39,9,TURNING_RIGHT,false,0,0,1,0,0,,,0,0,4
7,1,3,54,9,HIT_MUD,false,0,1,0,0,0,,,0,0,5
8,1,4,62,9,TURNING_RIGHT,false,0,1,1,0,0,,,0,0,9
9,1,4,71,9,USED_BOOST,true,5,1,0,0,0,,,0,0,13
10,1,4,80,9,NOTHING,true,4,1,0,0,0,,,0,0,13
11,1,3,88,9,TURNING_LEFT,true,3,1,1,0,0,,,0,0,17
12,1,3,97,9,NOTHING,true,2,1,2,0,0,,,0,0,21
13,1,3,106,9,NOTHING,true,1,1,2,0,0,,,0,0,21
14,1,3,115,9,NOTHING,false,0,1,3,0,0,,,0,0,25
15,1,3,124,9,USED_BOOST,true,5,1,2,0,0,,,0,0,29
16,1,3,133,9,NOTHING,true,4,1,2,0,0,,,0,0,29
17,1,3,142,9,NOTHING,true,3,1,2,0,0,,,1,0,33
18,1,3,151,9,NOTHING,true,2,1,2,0,0,,,1,0,33
19,1,3,160,9,NOTHING,true,1,1,2,0,0,,,1,0,33
20,1,3,169,9,NOTHING,false,0,1,3,0,0,,,1,0,37
21,1,3,178,3,HIT_MUD,false,0,4,3,0,0,3,171,0,0,32
22,1,3,181,3,USED_BOOST,true,5,4,2,0,0,3,171,0,0,36
23,1,3,181,0,HIT_CYBER_TRUCK,false,0,5,2,0,0,3,171,0,0,29
24,1,3,181,0,FIXED_CAR,false,0,3,2,0,0,3,171,0,0,29
25,1,3,187,6,USED_BOOST,true,5,3,2,0,0,3,171,0,0,37
26,1,3,193,6,NOTHING,true,4,3,2,0,0,3,171,0,0,37
27,1,4,198,6,TURNING_RIGHT,true,3,3,2,0,0,3,171,0,0,37
28,1,3,203,0,HIT_MUD,false,0,5,2,0,0,3,171,0,0,31
29,1,3,203,0,FIXED_CAR,false,0,3,2,0,0,3,171,0,0,31
30,1,3,203,0,NOTHING,false,0,3,2,0,0,3,171,0,0,31
