Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,3,5,5,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
3,2,2,9,5,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
4,2,2,15,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
5,2,2,23,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
6,2,2,32,9,ACCELERATING,false,0,0,1,0,0,,,0,0,4
7,2,3,40,9,TURNING_RIGHT,false,0,0,1,0,0,,,0,0,4
8,2,3,55,9,HIT_MUD,false,0,1,0,0,0,,,0,0,5
9,2,4,63,9,TURNING_RIGHT,false,0,1,1,0,0,,,0,0,9
10,2,4,72,9,USED_BOOST,true,5,1,0,0,0,,,0,0,13
11,2,4,81,9,NOTHING,true,4,1,0,0,0,,,0,0,13
12,2,3,89,9,TURNING_LEFT,true,3,1,1,0,0,,,0,0,17
13,2,3,98,9,NOTHING,true,2,1,2,0,0,,,0,0,21
14,2,3,107,9,NOTHING,true,1,1,2,0,0,,,0,0,21
15,2,3,116,9,NOTHING,false,0,1,3,0,0,,,0,0,25
16,2,3,125,9,USED_BOOST,true,5,1,2,0,0,,,0,0,29
17,2,3,134,9,NOTHING,true,4,1,2,0,0,,,0,0,29
18,2,3,143,9,NOTHING,true,3,1,2,0,0,,,1,0,33
19,2,3,152,9,NOTHING,true,2,1,2,0,0,,,1,0,33
20,2,3,161,9,NOTHING,true,1,1,2,0,0,,,1,0,33
21,2,3,170,9,NOTHING,false,0,1,3,0,0,,,1,0,37
22,2,3,170,3,HIT_CYBER_TRUCK,false,0,3,3,0,0,3,182,0,0,34
23,2,3,170,3,FIXED_CAR,false,0,1,3,0,0,3,182,0,0,34
24,2,3,176,3,HIT_MUD,false,0,3,3,0,0,3,182,0,0,28
25,2,3,176,3,FIXED_CAR,false,0,1,3,0,0,3,182,0,0,28
26,2,3,182,3,HIT_MUD,false,0,2,4,0,0,3,182,0,0,29
27,2,3,190,8,USED_BOOST,true,5,2,3,0,0,3,182,0,0,33
28,2,4,197,8,TURNING_RIGHT,true,4,2,4,0,0,3,182,0,0,37
29,2,3,204,0,HIT_MUD,false,0,5,4,0,0,3,182,0,0,28
30,2,3,204,0,FIXED_CAR,false,0,3,4,0,0,3,182,0,0,28
31,2,3,204,0,FIXED_CAR,false,0,1,4,0,0,3,182,0,0,28
32,2,3,207,3,HIT_MUD,false,0,2,4,0,0,3,182,0,0,25
33,2,3,207,3,FIXED_CAR,false,0,0,4,0,0,3,182,0,0,25
34,2,3,213,6,ACCELERATING,false,0,0,4,0,0,3,182,0,0,25
35,2,3,228,15,USED_BOOST,true,5,0,4,0,0,3,182,0,0,33
36,2,2,242,15,TURNING_LEFT,true,4,0,4,0,0,3,182,1,0,37
37,2,2,257,15,NOTHING,true,3,0,4,0,0,3,182,1,0,37
38,2,2,272,15,NOTHING,true,2,0,4,0,0,3,182,1,0,37
39,2,2,287,15,NOTHING,true,1,0,4,1,1,3,182,1,0,45
40,2,3,295,9,TURNING_RIGHT,false,0,0,5,1,1,3,182,1,0,49
41,2,3,310,15,USED_BOOST,true,5,0,4,1,1,3,182,1,0,53
42,2,3,325,15,NOTHING,true,4,0,4,1,1,3,182,1,0,53
43,2,3,340,15,NOTHING,true,3,0,4,1,1,3,182,1,1,57
44,2,2,354,15,TURNING_LEFT,true,2,0,4,1,1,3,182,1,1,57
45,2,2,369,9,HIT_MUD,false,0,1,4,1,1,3,182,1,1,54
46,2,2,378,9,USED_LIZARD,false,0,1,4,1,0,3,182,1,1,54
47,2,2,387,9,USED_BOOST,true,5,1,3,1,0,3,182,1,1,58
48,2,2,396,9,NOTHING,true,4,1,3,1,0,3,182,1,1,58
49,2,2,405,9,NOTHING,true,3,1,3,1,0,3,182,1,1,58
